id;inputname;inputvalue;uid;is_deleted;isenabled;update_date;create_date;create_by;update_by
1;synthesize gold Wooden;program paradigms virtual;Fresh blue Credit;false;false;2017-05-25T21:18:44;2017-05-26T07:57:04;Lodge Usability unleash;synthesizing Market
2;Future;Cotton deliverables;Shoes;false;false;2017-05-26T09:42:12;2017-05-26T01:13:25;orchid;online intangible
3;generating;Account;Incredible transmitting;false;false;2017-05-26T12:59:13;2017-05-26T01:25:55;Practical;protocol
4;silver CFA;Tuna synthesizing;Frozen parse Future;true;true;2017-05-26T14:41:46;2017-05-25T19:24:11;Libyan Fresh;Shoes Guinea
5;Rial;Chicken;Computers Operations;true;false;2017-05-26T04:45:49;2017-05-26T00:59:29;architect;Loan Mississippi
6;Manager;salmon Grocery;envisioneer withdrawal throughput;false;true;2017-05-26T11:55:19;2017-05-26T13:53:33;Health Metal;auxiliary Pitcairn collaborative
7;Multi-lateral;state;green;false;false;2017-05-26T18:38:29;2017-05-26T16:45:53;Ball Borders compress;index
8;Pizza state;Mouse Cotton;integrated Internal;false;false;2017-05-25T22:50:59;2017-05-25T20:54:38;Facilitator;quantifying wireless
9;asynchronous Avon payment;program Bedfordshire;grey;true;true;2017-05-26T14:09:36;2017-05-26T08:16:29;virtual;Omani Savings
10;purple;indigo Fiji overriding;invoice definition programming;false;false;2017-05-26T02:27:55;2017-05-26T03:47:38;Infrastructure Towels protocol;Internal generating
