id;document_id;contractarticle_id;is_deleted;update_date;create_date;create_by;update_by
1;97981;33703;true;2017-05-25T19:43:50;2017-05-26T12:10:14;copy teal static;Division coherent
2;45157;72562;false;2017-05-26T17:09:15;2017-05-25T22:01:29;Tactics management;SMS Cheese Berkshire
3;10259;23309;true;2017-05-25T20:58:00;2017-05-26T08:19:10;innovative maroon;Kids Executive Stream
4;85665;1194;false;2017-05-25T21:16:35;2017-05-25T21:08:14;Dynamic navigate;Wooden Berkshire Table
5;44430;97184;false;2017-05-26T03:48:33;2017-05-26T04:13:23;Borders deploy;Ball logistical secondary
6;55881;7234;false;2017-05-26T04:01:17;2017-05-26T02:44:35;system-worthy Armenian Metal;methodologies COM
7;58366;15560;false;2017-05-25T20:28:51;2017-05-26T14:34:38;back Granite;Pre-emptive
8;16738;64665;true;2017-05-25T21:25:53;2017-05-26T14:49:10;payment Lead;time-frame SMS
9;7498;80874;true;2017-05-25T23:18:03;2017-05-26T17:58:21;program 1080p;Massachusetts Plastic invoice
10;84966;56382;false;2017-05-26T10:56:02;2017-05-25T19:49:56;out-of-the-box 1080p;USB e-enable
