id;parent_id;lang;name;uid;value;description
0;NULL;tr;Turkce Ana;0;0;Ana
1;0;tr;Kullanıcı Tipi;1;1;kullanan kullanıcı tipi
2;1;tr;Yük Sahibi;2;2;kullanan kullanıcı tipi
3;1;tr;Arac Sahibi;3;3;kullanan kullanıcı tipi
4;0;tr;Arac Type;4;4;araç tipi
5;4;tr;Kamyon;5;5;araç tipi
6;4;tr;Kamyonet;6;6;araç tipi
7;4;tr;Kırk Ayak;7;7;araç tipi
8;4;tr;Tır/Çekici;8;8;araç tipi
9;0;tr;yük Tipi;9;9;yük tipi
10;9;tr;Kuru Yük;10;10;yük tipi
11;9;tr;Dökme Yük;11;11;yük tipi
12;9;tr;Dondurulmuş;12;12;yük tipi

100009;0;tr;kasa tipi;100009;100009;kasa tipi
1000010;100009;tr;Acık Kasa;1000010;1000010;Acık Kasa
1000011;100009;tr;Damper Kasa;1000011;1000011;Damper Kasa
1000012;100009;tr;Tenteli;1000012;1000012;Tenteli
1000013;100009;tr;FrigoFrig;1000013;1000013;FrigoFrig

13;0;tr;Ülke;13;13;Ülke tipi
14;13;tr;Türkiye;14;14;Türkiye
15;13;tr;İsveç;15;15;İsveç
16;13;tr;USA;16;16;USA

20001;16;tr;Massachussest;20001;20001;Massachussest 
20002;16;tr;Chicago;20002;20002;Chicago
20003;16;tr;New York;20003;20003;New York
20004;16;tr;Las Vegas;20004;20004;Las Vegas

20201;15;tr;Stokholm;20201;20201;Stokholm 
20202;15;tr;Lund;20202;20202;Lund
20203;15;tr;Visby;20203;20203;Visby
20204;15;tr;Falun;20204;20204;Falun

10015;14;tr;BURDUR;10015;10015;BURDUR
10026;14;tr;ESKİŞEHİR;10026;10026;ESKİŞEHİR
10018;14;tr;ÇANKIRI;10018;10018;ÇANKIRI
10080;14;tr;OSMANİYE;10080;10080;OSMANİYE
10041;14;tr;KOCAELİ;10041;10041;KOCAELİ
10027;14;tr;GAZİANTEP;10027;10027;GAZİANTEP
10031;14;tr;HATAY;10031;10031;HATAY
10038;14;tr;KAYSERİ;10038;10038;KAYSERİ
10029;14;tr;GÜMÜŞHANE;10029;10029;GÜMÜŞHANE
10054;14;tr;SAKARYA;10054;10054;SAKARYA
10016;14;tr;BURSA;10016;10016;BURSA
10069;14;tr;BAYBURT;10069;10069;BAYBURT
10017;14;tr;ÇANAKKALE;10017;10017;ÇANAKKALE
10057;14;tr;SİNOP;10057;10057;SİNOP
10074;14;tr;BARTIN;10074;10074;BARTIN
10503;14;tr;MAĞUSA (KIBRIS);10503;10503;MAĞUSA (KIBRIS)
10033;14;tr;MERSİN;10033;10033;MERSİN
10051;14;tr;NİĞDE;10051;10051;NİĞDE
10042;14;tr;KONYA;10042;10042;KONYA
10060;14;tr;TOKAT;10060;10060;TOKAT
10002;14;tr;ADIYAMAN;10002;10002;ADIYAMAN
10006;14;tr;ANKARA;10006;10006;ANKARA
10066;14;tr;YOZGAT;10066;10066;YOZGAT
10052;14;tr;ORDU;10052;10052;ORDU
10053;14;tr;RİZE;10053;10053;RİZE
10001;14;tr;ADANA;10001;10001;ADANA
10040;14;tr;KIRŞEHİR;10040;10040;KIRŞEHİR
10076;14;tr;IĞDIR;10076;10076;IĞDIR
10045;14;tr;MANİSA;10045;10045;MANİSA
10021;14;tr;DİYARBAKIR;10021;10021;DİYARBAKIR
10064;14;tr;UŞAK;10064;10064;UŞAK
10501;14;tr;LEFKOŞE (KIBRIS);10501;10501;LEFKOŞE (KIBRIS)
10005;14;tr;AMASYA;10005;10005;AMASYA
10024;14;tr;ERZİNCAN;10024;10024;ERZİNCAN
10032;14;tr;ISPARTA;10032;10032;ISPARTA
10502;14;tr;GİRNE (KIBRIS);10502;10502;GİRNE (KIBRIS)
10023;14;tr;ELAZIĞ;10023;10023;ELAZIĞ
10078;14;tr;KARABÜK;10078;10078;KARABÜK
10030;14;tr;HAKKARİ;10030;10030;HAKKARİ
10036;14;tr;KARS;10036;10036;KARS
10067;14;tr;ZONGULDAK;10067;10067;ZONGULDAK
10068;14;tr;AKSARAY;10068;10068;AKSARAY
10044;14;tr;MALATYA;10044;10044;MALATYA
10010;14;tr;BALIKESİR;10010;10010;BALIKESİR
10020;14;tr;DENİZLİ;10020;10020;DENİZLİ
10049;14;tr;MUŞ;10049;10049;MUŞ
10073;14;tr;ŞIRNAK;10073;10073;ŞIRNAK
10048;14;tr;MUĞLA;10048;10048;MUĞLA
10059;14;tr;TEKİRDAĞ;10059;10059;TEKİRDAĞ
10039;14;tr;KIRKLARELİ;10039;10039;KIRKLARELİ
10056;14;tr;SİİRT;10056;10056;SİİRT
10028;14;tr;GİRESUN;10028;10028;GİRESUN
10063;14;tr;ŞANLIURFA;10063;10063;ŞANLIURFA
10009;14;tr;AYDIN;10009;10009;AYDIN
10072;14;tr;BATMAN;10072;10072;BATMAN
10013;14;tr;BİTLİS;10013;10013;BİTLİS
10003;14;tr;AFYONKARAHİSAR;10003;10003;AFYONKARAHİSAR
10008;14;tr;ARTVİN;10008;10008;ARTVİN
10004;14;tr;AĞRI;10004;10004;AĞRI
10077;14;tr;YALOVA;10077;10077;YALOVA
10050;14;tr;NEVŞEHİR;10050;10050;NEVŞEHİR
10061;14;tr;TRABZON;10061;10061;TRABZON
10058;14;tr;SİVAS;10058;10058;SİVAS
10007;14;tr;ANTALYA;10007;10007;ANTALYA
10037;14;tr;KASTAMONU;10037;10037;KASTAMONU
10047;14;tr;MARDİN;10047;10047;MARDİN
10046;14;tr;KAHRAMANMARAŞ;10046;10046;KAHRAMANMARAŞ
10025;14;tr;ERZURUM;10025;10025;ERZURUM
10075;14;tr;ARDAHAN;10075;10075;ARDAHAN
10081;14;tr;DÜZCE;10081;10081;DÜZCE
10055;14;tr;SAMSUN;10055;10055;SAMSUN
10019;14;tr;ÇORUM;10019;10019;ÇORUM
10065;14;tr;VAN;10065;10065;VAN
10014;14;tr;BOLU;10014;10014;BOLU
10043;14;tr;KÜTAHYA;10043;10043;KÜTAHYA
10011;14;tr;BİLECİK;10011;10011;BİLECİK
10034;14;tr;İSTANBUL;10034;10034;İSTANBUL
10079;14;tr;KİLİS;10079;10079;KİLİS
10062;14;tr;TUNCELİ;10062;10062;TUNCELİ
10012;14;tr;BİNGÖL;10012;10012;BİNGÖL
10022;14;tr;EDİRNE;10022;10022;EDİRNE
10071;14;tr;KIRIKKALE;10071;10071;KIRIKKALE
10070;14;tr;KARAMAN;10070;10070;KARAMAN
10035;14;tr;İZMİR;10035;10035;İZMİR

1757;10001;tr;ALADAĞ;1757;1757;ALADAĞ
1219;10001;tr;CEYHAN;1219;1219;CEYHAN
2033;10001;tr;ÇUKUROVA;2033;2033;ÇUKUROVA
1329;10001;tr;FEKE;1329;1329;FEKE
1806;10001;tr;İMAMOĞLU;1806;1806;İMAMOĞLU
1437;10001;tr;KARAİSALI;1437;1437;KARAİSALI
1443;10001;tr;KARATAŞ;1443;1443;KARATAŞ
1486;10001;tr;KOZAN;1486;1486;KOZAN
1580;10001;tr;POZANTI;1580;1580;POZANTI
1588;10001;tr;SAİMBEYLİ;1588;1588;SAİMBEYLİ
2032;10001;tr;SARIÇAM;2032;2032;SARIÇAM
1104;10001;tr;SEYHAN;1104;1104;SEYHAN
1687;10001;tr;TUFANBEYLİ;1687;1687;TUFANBEYLİ
1734;10001;tr;YUMURTALIK;1734;1734;YUMURTALIK
1748;10001;tr;YÜREĞİR;1748;1748;YÜREĞİR
1182;10002;tr;BESNİ;1182;1182;BESNİ
1246;10002;tr;ÇELİKHAN;1246;1246;ÇELİKHAN
1347;10002;tr;GERGER;1347;1347;GERGER
1354;10002;tr;GÖLBAŞI;1354;1354;GÖLBAŞI
1425;10002;tr;KAHTA;1425;1425;KAHTA
1105;10002;tr;MERKEZ;1105;1105;MERKEZ
1592;10002;tr;SAMSAT;1592;1592;SAMSAT
1985;10002;tr;SİNCİK;1985;1985;SİNCİK
1989;10002;tr;TUT;1989;1989;TUT
1771;10003;tr;BAŞMAKÇI;1771;1771;BAŞMAKÇI
1773;10003;tr;BAYAT;1773;1773;BAYAT
1200;10003;tr;BOLVADİN;1200;1200;BOLVADİN
1239;10003;tr;ÇAY;1239;1239;ÇAY
1906;10003;tr;ÇOBANLAR;1906;1906;ÇOBANLAR
1267;10003;tr;DAZKIRI;1267;1267;DAZKIRI
1281;10003;tr;DİNAR;1281;1281;DİNAR
1306;10003;tr;EMİRDAĞ;1306;1306;EMİRDAĞ
1923;10003;tr;EVCİLER;1923;1923;EVCİLER
1944;10003;tr;HOCALAR;1944;1944;HOCALAR
1404;10003;tr;İHSANİYE;1404;1404;İHSANİYE
1809;10003;tr;İSCEHİSAR;1809;1809;İSCEHİSAR
1961;10003;tr;KIZILÖREN;1961;1961;KIZILÖREN
1108;10003;tr;MERKEZ;1108;1108;MERKEZ
1594;10003;tr;SANDIKLI;1594;1594;SANDIKLI
1626;10003;tr;SİNANPAŞA;1626;1626;SİNANPAŞA
1639;10003;tr;SULTANDAĞI;1639;1639;SULTANDAĞI
1664;10003;tr;ŞUHUT;1664;1664;ŞUHUT
1283;10004;tr;DİYADİN;1283;1283;DİYADİN
1287;10004;tr;DOĞUBAYAZIT;1287;1287;DOĞUBAYAZIT
1301;10004;tr;ELEŞKİRT;1301;1301;ELEŞKİRT
1379;10004;tr;HAMUR;1379;1379;HAMUR
1111;10004;tr;MERKEZ;1111;1111;MERKEZ
1568;10004;tr;PATNOS;1568;1568;PATNOS
1667;10004;tr;TAŞLIÇAY;1667;1667;TAŞLIÇAY
1691;10004;tr;TUTAK;1691;1691;TUTAK
1363;10005;tr;GÖYNÜCEK;1363;1363;GÖYNÜCEK
1368;10005;tr;GÜMÜŞHACIKÖY;1368;1368;GÜMÜŞHACIKÖY
1938;10005;tr;HAMAMÖZÜ;1938;1938;HAMAMÖZÜ
1134;10005;tr;MERKEZ;1134;1134;MERKEZ
1524;10005;tr;MERZİFON;1524;1524;MERZİFON
1641;10005;tr;SULUOVA;1641;1641;SULUOVA
1668;10005;tr;TAŞOVA;1668;1668;TAŞOVA
1872;10006;tr;AKYURT;1872;1872;AKYURT
1130;10006;tr;ALTINDAĞ;1130;1130;ALTINDAĞ
1157;10006;tr;AYAŞ;1157;1157;AYAŞ
1167;10006;tr;BALA;1167;1167;BALA
1187;10006;tr;BEYPAZARI;1187;1187;BEYPAZARI
1227;10006;tr;ÇAMLIDERE;1227;1227;ÇAMLIDERE
1231;10006;tr;ÇANKAYA;1231;1231;ÇANKAYA
